name,email,password,divisi,role
"Ir. Padma Puspita, S.Pt",pranawa96@gmail.com,)^4Fau8jEN,Cyber Security,USER
R.A. Diana Uyainah,maya45@gmail.com,c#BwHsPE!5,Web Development,USER
"T. Prasetya Hutasoit, M.Farm",pratamaradit@gmail.com,%Sg$3Rb797,ITNSA,USER
R. Kasiyah Marbun,eka00@gmail.com,Tz04Fdkyg+,Web Development,USER
Karsana Prabowo,sitorussaiful@gmail.com,W9W76VteC(,ITNSA,USER
"Bella Purnawati, M.Farm",putri09@gmail.com,lr$fAMmf&3,Web Development,USER
Ega Hardiansyah,yhabibi@gmail.com,LK)#+6JgDe,Web Development,USER
"T. Irfan Sinaga, M.Ak",suryonomursinin@gmail.com,O1PQRmOk^s,Cyber Security,USER
Balidin Hutasoit,rahimahteddy@gmail.com,)w2VOLAdc#,ITNSA,USER
"Mila Hidayanto, M.Ak",edisonhidayanto@gmail.com,$_3^C8Ok0&,ITNSA,USER
Dwi Wibisono,adinata68@gmail.com,!GM7GCpa(M,Cyber Security,USER
Ade Sirait,pratiwimala@gmail.com,m)2JpajOa1,ITNSA,USER
"R.M. Harsana Saptono, S.Gz",usiregar@gmail.com,SnUJHqYm!2,ITNSA,USER
"Zulaikha Nurdiyanti, S.E.I",mumpuni54@gmail.com,&0SQoa@uj&,Web Development,USER
KH. Harjo Habibi,mustofafirmansyah@gmail.com,fJ6R1_gj%!,Web Development,USER
"Sutan Koko Suwarno, S.I.Kom",puti61@gmail.com,)3LJz9C#_7,Cyber Security,USER
Ir. Citra Wijayanti,pkuswoyo@gmail.com,#Wl8SbPs80,Web Development,USER
R.A. Rahmi Fujiati,winarsihghani@gmail.com,^YQi@H795p,Web Development,USER
Cut Najwa Haryanto,suci46@gmail.com,8S!F(wyv&Q,Web Development,USER
"Dr. Elisa Santoso, M.Ak",indra81@gmail.com,axW6Gcs4%Z,ITNSA,USER
Lintang Saragih,ella44@gmail.com,+5cD^RXnMK,Cyber Security,USER
"Bella Nasyiah, S.T.",umar71@gmail.com,*SM1bIiL%1,Web Development,USER
Kiandra Laksita,hutasoitkambali@gmail.com,PsMtgohz$6,ITNSA,USER
Ika Dabukke,psihotang@gmail.com,Qm#C6U7oJ7,Web Development,USER
Tira Yuliarti,sakurasitompul@gmail.com,)*QT1g*p4z,Cyber Security,USER
"Puti Agustina, M.Ak",hidayantounjani@gmail.com,Ea9+_%Dm^3,ITNSA,USER
Mitra Yuliarti,keishawibowo@gmail.com,S&qD#La8sL,Web Development,USER
Zulaikha Nuraini,tampubolongambira@gmail.com,&7fHt_D8pR,ITNSA,USER
Rahayu Mayasari,winarnoulva@gmail.com,$*0IM$MtDt,Cyber Security,USER
Vanya Simbolon,hnarpati@gmail.com,x56GTQzG_U,Web Development,USER
Humaira Wacana,lailasariibrahim@gmail.com,#8fKdk3YLi,Cyber Security,USER
"Anggabaya Permata, S.IP",pradiptayusuf@gmail.com,^r1PXQw16M,Web Development,USER
"dr. Fitriani Permata, S.Pt",raharjaanggraini@gmail.com,^79NeM135N,Web Development,USER
Reksa Pradipta,lala48@gmail.com,)PLSYccyW8,Web Development,USER
Prayogo Waskita,rangga26@gmail.com,^K!6rDgn&Q,Web Development,USER
Prayoga Rajata,wadilestari@gmail.com,K6L%wl$C*&,ITNSA,USER
Empluk Zulkarnain,prabowobanawa@gmail.com,&_Q7iAb@hH,Web Development,USER
"Tasdik Maryadi, S.T.",wasitaluhung@gmail.com,^6PYcUDpA4,Web Development,USER
"Kurnia Winarsih, S.Gz",galionosantoso@gmail.com,&z51FkOt0y,ITNSA,USER
Hj. Suci Nurdiyanti,ksiregar@gmail.com,Sux86CQy*9,Web Development,USER
Putu Permata,nabila80@gmail.com,0q6Rg+tu@h,ITNSA,USER
Maida Hastuti,uyainahnasrullah@gmail.com,nC15AKclK+,Web Development,USER
dr. Ella Sihotang,nurdiyantijumari@gmail.com,%39)qZgzwM,ITNSA,USER
"R. Jumadi Mahendra, S.Sos",donosimbolon@gmail.com,eA4zTe2M#9,ITNSA,USER
Sutan Bakijan Prasasta,vwidiastuti@gmail.com,++t44K*x(9,Web Development,USER
"Galih Pudjiastuti, S.IP",mahesa60@gmail.com,&I@8lEx5_P,Cyber Security,USER
"Prayogo Wulandari, S.E.",fdamanik@gmail.com,ss4FnVx*b+,Cyber Security,USER
Salimah Melani,usantoso@gmail.com,$PX90c1o6o,Web Development,USER
Soleh Nashiruddin,purwantomanullang@gmail.com,_88PiVaxGq,Web Development,USER
"Oliva Wacana, S.Pd",firgantorobakiman@gmail.com,(c$*DsC0h1,Cyber Security,USER
Viktor Padmasari,khakim@gmail.com,^wF5qDxC82,ITNSA,USER
Martaka Haryanto,rpurwanti@gmail.com,Q*d5FnmHgT,Cyber Security,USER
Prayitna Pratiwi,zastuti@gmail.com,7rxh*5V76@,Web Development,USER
Nilam Kusumo,aurora16@gmail.com,ILOo%6AkU0,ITNSA,USER
"Jabal Wasita, S.Pd",egawulandari@gmail.com,#0tLBUF22r,ITNSA,USER
Najwa Laksita,raditya24@gmail.com,I$9UpFv&#m,Cyber Security,USER
Zelda Prasetya,balangga23@gmail.com,(6C0VMk(Kj,Web Development,USER
Drs. Wani Utama,mulyonorahimah@gmail.com,_5OZ5HiIkg,Web Development,USER
Darmaji Lestari,lestarimumpuni@gmail.com,Ks4X%Lhv^#,ITNSA,USER
"KH. Ikhsan Sihombing, M.Kom.",harjayalatupono@gmail.com,(snadaRw0R,ITNSA,USER
Maida Lestari,emong80@gmail.com,^9oYC_nuWs,Web Development,USER
Hasna Dabukke,ssaptono@gmail.com,g+k67NhE6A,Cyber Security,USER
Danuja Putra,patriciahassanah@gmail.com,#UZR6dnQD8,Web Development,USER
Hafshah Lestari,eprastuti@gmail.com,ER6q$BCf_e,Cyber Security,USER
"Daru Oktaviani, S.H.",praba95@gmail.com,@7Rjvd*c!),Cyber Security,USER
Endah Hidayat,emulyani@gmail.com,!POAAAJi*0,ITNSA,USER
"T. Ozy Halimah, S.Farm",hamimahabibi@gmail.com,^YRFen5cd8,Cyber Security,USER
Nabila Siregar,kiandraramadan@gmail.com,2(XzDb0Z%^,Web Development,USER
